,Sentence,Tagged_Sentence
59,Terboekkkkkjkkkkk memang jadi dah lah murah seller responsive record pakai mysejahtera ye gaes,"[('terboekkkkkjkkkkk', 'X'), ('memang', 'ADV'), ('jadi', 'ADJ'), ('dah', 'ADV'), ('lah', 'INTJ'), ('murah', 'ADJ'), ('seller', 'NOUN'), ('responsive', 'VERB'), ('record', 'NOUN'), ('pakai', 'VERB'), ('mysejahtera', 'PROPN'), ('ye', 'INTJ'), ('gaes', 'NOUN')]"
60,Performance:Quality of product was good,"[('performance', 'NOUN'), (':', 'PUNCT'), ('quality', 'NOUN'), ('of', 'ADP'), ('product', 'NOUN'), ('was', 'VERB'), ('good', 'ADJ')]"
61,Thanks Ah Feng,"[('thanks', 'VERB'), ('ah', 'ADV'), ('feng', 'ADJ')]"
62,warna dia cantikkkkk i really like it,"[('warna', 'NOUN'), ('dia', 'PRON'), ('cantikkkkk', 'ADJ'), ('i', 'PRON'), ('really', 'ADV'), ('like', 'VERB'), ('it', 'PRON')]"
63,"Dah smpai , Cuba dulu klau sesuai baru beli bnyak tq seller","[('dah', 'ADV'), ('smpai', 'VERB'), (',', 'PUNCT'), ('cuba', 'VERB'), ('dulu', 'ADJ'), ('klau', 'CCONJ'), ('sesuai', 'ADJ'), ('baru', 'CCONJ'), ('beli', 'VERB'), ('bnyak', 'DET'), ('tq', 'X'), ('seller', 'NOUN')]"
64,i already request for box shoes but seller didnot give it,"[('i', 'PRON'), ('already', 'ADV'), ('request', 'VERB'), ('for', 'ADP'), ('box', 'NOUN'), ('shoes', 'NOUN'), ('but', 'CCONJ'), ('seller', 'NOUN'), ('didnot', 'ADV'), ('give', 'VERB'), ('it', 'PRON')]"
65,Verry cute lama skit nk sampai but isokay just nice to go outt,"[('verry', 'ADV'), ('cute', 'ADJ'), ('lama', 'ADJ'), ('skit', 'NOUN'), ('nk', 'VERB'), ('sampai', 'VERB'), ('but', 'CCONJ'), ('isokay', 'INTJ'), ('just', 'ADV'), ('nice', 'ADJ'), ('to', 'PART'), ('go', 'VERB'), ('outt', 'ADV')]"
66,my 2nd time buying here,"[('my', 'PRON'), ('2nd', 'NUM'), ('time', 'NOUN'), ('buying', 'VERB'), ('here', 'ADV')]"
67,Repeat balik kenangan makan dekat putrajaya lepas tu gaduh2 besar tu,"[('repeat', 'VERB'), ('balik', 'ADJ'), ('kenangan', 'NOUN'), ('makan', 'VERB'), ('dekat', 'ADP'), ('putrajaya', 'PROPN'), ('lepas', 'ADP'), ('tu', 'PRON'), ('gaduh2', 'VERB'), ('besar', 'ADJ'), ('tu', 'PRON')]"
68,"fast delivery , the black ver is really beautiful and i gof my bias pc IT'S REALLY BEAUTIFUL I LOVE ITTTTT THANK YOU ,","[('fast', 'ADJ'), ('delivery', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('black', 'ADJ'), ('ver', 'NOUN'), ('is', 'VERB'), ('really', 'ADV'), ('beautiful', 'ADJ'), ('and', 'CCONJ'), ('i', 'PRON'), ('gof', 'VERB'), ('my', 'PRON'), ('bias', 'NOUN'), ('pc', 'VERB'), ('it', 'PRON'), (""'s"", 'PART'), ('really', 'ADV'), ('beautiful', 'ADJ'), ('i', 'PRON'), ('love', 'VERB'), ('ittttt', 'X'), ('thank', 'VERB'), ('you', 'PRON'), (',', 'PUNCT')]"
69,Bought 2 pc for my daughter and me,"[('bought', 'VERB'), ('2', 'NUM'), ('pc', 'NOUN'), ('for', 'ADP'), ('my', 'PRON'), ('daughter', 'NOUN'), ('and', 'CCONJ'), ('me', 'PRON')]"
70,Better use grab service,"[('better', 'ADJ'), ('use', 'VERB'), ('grab', 'PROPN'), ('service', 'NOUN')]"
71,Tp aku rasa apps tu yg berat xcun,"[('tp', 'X'), ('aku', 'PRON'), ('rasa', 'VERB'), ('apps', 'NOUN'), ('tu', 'PRON'), ('yg', 'PRON'), ('berat', 'ADJ'), ('xcun', 'ADV')]"
72,"Product: All good, functioning and cheap","[('product', 'NOUN'), (':', 'PUNCT'), ('all', 'DET'), ('good', 'ADJ'), (',', 'PUNCT'), ('functioning', 'VERB'), ('and', 'CCONJ'), ('cheap', 'ADJ')]"
73,Topi pun dapat warna yg saya nak,"[('topi', 'NOUN'), ('pun', 'ADV'), ('dapat', 'VERB'), ('warna', 'NOUN'), ('yg', 'PRON'), ('saya', 'PRON'), ('nak', 'VERB')]"
74,"Bought on 9may, shipped on 11May, received on 22th","[('bought', 'VERB'), ('on', 'ADP'), ('9may', 'PROPN'), (',', 'PUNCT'), ('shipped', 'VERB'), ('on', 'ADP'), ('11may', 'NUM'), (',', 'PUNCT'), ('received', 'VERB'), ('on', 'ADP'), ('22th', 'NUM')]"
75,Cepat n berkualiti,"[('cepat', 'ADJ'), ('n', 'X'), ('berkualiti', 'ADJ')]"
76,tapi ade part yg xcukop,"[('tapi', 'CCONJ'), ('ade', 'VERB'), ('part', 'NOUN'), ('yg', 'PRON'), ('xcukop', 'DET')]"
77,thank you so muchh seller even though the liptint spilt almost half of it on the parcel,"[('thank', 'VERB'), ('you', 'PRON'), ('so', 'ADV'), ('muchh', 'DET'), ('seller', 'NOUN'), ('even', 'ADV'), ('though', 'ADP'), ('the', 'DET'), ('liptint', 'NOUN'), ('spilt', 'NOUN'), ('almost', 'ADV'), ('half', 'DET'), ('of', 'ADP'), ('it', 'PRON'), ('on', 'ADP'), ('the', 'DET'), ('parcel', 'NOUN')]"
78,paperpun,"[('paperpun', 'NOUN')]"
79,My husband kata nanti beli 1 kotak terus eh 🤭,"[('my', 'PRON'), ('husband', 'NOUN'), ('kata', 'VERB'), ('nanti', 'ADV'), ('beli', 'VERB'), ('1', 'NUM'), ('kotak', 'NOUN'), ('terus', 'ADJ'), ('eh', 'INTJ')]"
80,Haha btw tenkiuu,"[('haha', 'INTJ'), ('btw', 'X'), ('tenkiuu', 'X')]"
81,kain tak nipis dan sngt selesa,"[('kain', 'NOUN'), ('tak', 'ADV'), ('nipis', 'ADJ'), ('dan', 'CCONJ'), ('sngt', 'ADV'), ('selesa', 'ADJ')]"
82,"Fast delivery good packaging, good product , cheap price repeat repeat repeat order recommended seller","[('fast', 'ADJ'), ('delivery', 'NOUN'), ('good', 'ADJ'), ('packaging', 'NOUN'), (',', 'PUNCT'), ('good', 'ADJ'), ('product', 'NOUN'), (',', 'PUNCT'), ('cheap', 'ADJ'), ('price', 'NOUN'), ('repeat', 'VERB'), ('repeat', 'VERB'), ('repeat', 'VERB'), ('order', 'VERB'), ('recommended', 'VERB'), ('seller', 'NOUN')]"
83,Terima face mask terus tunjuk anak,"[('terima', 'VERB'), ('face', 'NOUN'), ('mask', 'NOUN'), ('terus', 'ADV'), ('tunjuk', 'VERB'), ('anak', 'NOUN')]"
84,Ambik masa seminggu nak sampai,"[('ambik', 'ADJ'), ('masa', 'NOUN'), ('seminggu', 'NOUN'), ('nak', 'AUX'), ('sampai', 'VERB')]"
85,"Semuanyaaaa terbaikkkk lahhhhh,","[('semuanyaaaa', 'DET'), ('terbaikkkk', 'X'), ('lahhhhh', 'X'), (',', 'PUNCT')]"
86,A bit nipis tapi okay la dengan harga,"[('a', 'DET'), ('bit', 'NOUN'), ('nipis', 'ADJ'), ('tapi', 'CCONJ'), ('okay', 'ADJ'), ('la', 'INTJ'), ('dengan', 'ADP'), ('harga', 'NOUN')]"
87,"BRNG DAH SAMPAI , NASEB SMPAI AWAL SBB MMNG PERLU SNGD II MEKASIHHHH","[('brng', 'NOUN'), ('dah', 'ADV'), ('sampai', 'VERB'), (',', 'PUNCT'), ('naseb', 'X'), ('smpai', 'VERB'), ('awal', 'ADJ'), ('sbb', 'CCONJ'), ('mmng', 'VERB'), ('perlu', 'X'), ('sngd', 'X'), ('ii', 'X'), ('mekasihhhh', 'X')]"
88,"The longest election was that of Giovanni Leone in 1971, who became head of state at the 23rd ballot in a vote that was spread out over 16 days","[('the', 'DET'), ('longest', 'ADJ'), ('election', 'NOUN'), ('was', 'VERB'), ('that', 'ADP'), ('of', 'ADP'), ('giovanni', 'ADJ'), ('leone', 'NOUN'), ('in', 'ADP'), ('1971', 'NUM'), (',', 'PUNCT'), ('who', 'PRON'), ('became', 'VERB'), ('head', 'NOUN'), ('of', 'ADP'), ('state', 'NOUN'), ('at', 'ADP'), ('the', 'DET'), ('23rd', 'NUM'), ('ballot', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('vote', 'NOUN'), ('that', 'PRON'), ('was', 'AUX'), ('spread', 'VERB'), ('out', 'ADP'), ('over', 'ADP'), ('16', 'NUM'), ('days', 'NOUN')]"
89,Jgn jdi JNT sudah,"[('jgn', 'X'), ('jdi', 'X'), ('jnt', 'PROPN'), ('sudah', 'ADV')]"
90,Hairdryer ne xssuai utk aq sb aq dh biase pkai yg salon a,"[('hairdryer', 'NOUN'), ('ne', 'PRON'), ('xssuai', 'ADJ'), ('utk', 'ADP'), ('aq', 'PRON'), ('sb', 'CCONJ'), ('aq', 'PRON'), ('dh', 'ADV'), ('biase', 'ADJ'), ('pkai', 'VERB'), ('yg', 'PRON'), ('salon', 'NOUN'), ('a', 'DET')]"
91,2nd time ordered from seller and very good quality product,"[('2nd', 'NUM'), ('time', 'NOUN'), ('ordered', 'VERB'), ('from', 'ADP'), ('seller', 'NOUN'), ('and', 'CCONJ'), ('very', 'ADV'), ('good', 'ADJ'), ('quality', 'NOUN'), ('product', 'NOUN')]"
92,tiada kebocoran dan ketumpahan,"[('tiada', 'DET'), ('kebocoran', 'NOUN'), ('dan', 'CCONJ'), ('ketumpahan', 'NOUN')]"
93,Your delivery is so convincing that I can't wait to try them and I'm never disappointed,"[('your', 'PRON'), ('delivery', 'NOUN'), ('is', 'VERB'), ('so', 'ADV'), ('convincing', 'VERB'), ('that', 'ADP'), ('i', 'PRON'), ('ca', 'VERB'), (""n't"", 'ADV'), ('wait', 'VERB'), ('to', 'PART'), ('try', 'VERB'), ('them', 'PRON'), ('and', 'CCONJ'), ('i', 'PRON'), (""'m"", 'VERB'), ('never', 'ADV'), ('disappointed', 'VERB')]"
94,"Sgt senyap,","[('sgt', 'X'), ('senyap', 'NOUN'), (',', 'PUNCT')]"
95,barang sampai dengan selamat tapi belum cube lagi di jaln,"[('barang', 'NOUN'), ('sampai', 'VERB'), ('dengan', 'ADP'), ('selamat', 'ADJ'), ('tapi', 'CCONJ'), ('belum', 'VERB'), ('cube', 'VERB'), ('lagi', 'ADV'), ('di', 'ADP'), ('jaln', 'NOUN')]"
96,The was so awesome,"[('the', 'DET'), ('was', 'VERB'), ('so', 'ADV'), ('awesome', 'ADJ')]"
97,"Arghhhhhh so beautiful beli masa 18 sen haritu , Suka sngat dh la dpat murah , Suka sngat ii nnti boleh beli lagi","[('arghhhhhh', 'X'), ('so', 'ADV'), ('beautiful', 'ADJ'), ('beli', 'VERB'), ('masa', 'NOUN'), ('18', 'NUM'), ('sen', 'NOUN'), ('haritu', 'NOUN'), (',', 'PUNCT'), ('suka', 'VERB'), ('sngat', 'ADV'), ('dh', 'ADV'), ('la', 'INTJ'), ('dpat', 'VERB'), ('murah', 'ADJ'), (',', 'PUNCT'), ('suka', 'VERB'), ('sngat', 'ADV'), ('ii', 'X'), ('nnti', 'X'), ('boleh', 'VERB'), ('beli', 'VERB'), ('lagi', 'ADV')]"
98,Parcel delivered in good condition and measurement accurate,"[('parcel', 'NOUN'), ('delivered', 'VERB'), ('in', 'ADP'), ('good', 'ADJ'), ('condition', 'NOUN'), ('and', 'CCONJ'), ('measurement', 'NOUN'), ('accurate', 'ADJ')]"
99,RINGLIGHT BEST ADA 3 WARNA BOLEH TUKAR,"[('ringlight', 'NOUN'), ('best', 'ADJ'), ('ada', 'VERB'), ('3', 'NUM'), ('warna', 'NOUN'), ('boleh', 'VERB'), ('tukar', 'VERB')]"
